classified_movement,recording_timestamp,x,y,pupil_left,pupil_right,duration,group_index
fixation,75.1360000371933,0.5767794400453568,0.4807567819952965,2.7021102905273438,2.6476669311523438,66.0,1
fixation,158.43499994277954,0.5994790663773363,0.4811395210298625,2.7500423084605825,2.714532331986861,733.0,2
fixation,941.6380000114441,0.4473997294902802,0.4833995640277863,2.798628234863281,2.769483947753906,166.0,3
fixation,1124.9659999608994,0.412842599550883,0.48251683712005616,2.8546966552734374,2.7932108561197917,250.0,4
fixation,1391.6139999628067,0.3965655572903462,0.48366393874853086,2.885956593048878,2.831672864082532,650.0,5
fixation,2074.889999985695,0.5044044391030357,0.5578365396885645,2.9836672828311013,2.8604049682617188,700.0,6
fixation,2958.4229999780655,0.6437306076288223,0.08019702881574631,3.0499755859375,2.92418212890625,166.0,7
fixation,3258.4379999637604,0.2039225282413619,0.5680830265794482,2.9856087820870534,3.0241873604910716,116.0,8
fixation,3408.4370000362396,0.25698462227980295,0.5687144080797831,3.0005167643229167,3.0016682942708335,250.0,9
fixation,3675.108999967575,0.2284301123023033,0.5215027868747711,3.009329833984375,3.0293960571289062,834.0,10
fixation,4591.845999956131,0.5040078946948051,0.7258397018909455,3.0043389892578123,2.9256756591796873,833.0,11
fixation,5491.947999954224,0.7612468500932058,0.5500270873308182,3.0450897216796875,2.890741984049479,100.0,12
fixation,5675.289000034332,0.46688889373432507,0.2240432914007794,3.090818925337358,2.9883977716619317,184.0,13
fixation,5908.634999990463,0.5453130155801773,0.48477831376450403,3.0250462123325894,2.936945234026228,233.0,14
fixation,6158.646999955177,0.59570136335161,0.5071459081437852,3.0040757921006946,2.933376736111111,150.0,15
fixation,6325.320999979973,0.6071453164605534,0.4956096160937758,3.038438684800092,2.9419156242819393,567.0,16
fixation,6942.016999959946,0.5212353788889371,0.5571779402402731,2.9438993013822117,2.88705326960637,217.0,17
fixation,7175.365000009537,0.5001590601775957,0.5951318177192108,2.894783351732337,2.8293938014818276,766.0,18
fixation,7975.404000043869,0.501850514113903,0.6743256539106369,2.973985290527344,2.8344802856445312,166.0,19
fixation,8158.75,0.5122728099425634,0.7384659433574007,2.999772724352385,2.920296652275219,950.0,20
fixation,9175.47000002861,0.42101290822029114,0.5167715386910872,2.8884638006036933,2.8279987681995737,183.0,21
fixation,9375.481999993324,0.40198069696242994,0.4887246718773475,2.932647705078125,2.8505389873798075,216.6799999475479,22
